Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SR Tendulkar (IND),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88
V Kohli (IND),2008-2025,302,290,45,14181,183,57.88,15192,93.34,51,74,16,1325,152
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162
ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,1500,270
DPMD Jayawardene (Asia/SL),1998-2015,448,418,39,12650,144,33.37,16020,78.96,19,77,28,1119,76
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,971,144
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137
SC Ganguly (Asia/IND),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190
RG Sharma (IND),2007-2025,273,265,36,11168,264,48.76,12034,92.8,32,58,16,1045,344
R Dravid (Asia/ICC/IND),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42
MS Dhoni (Asia/IND),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,826,229
CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,87.19,25,54,25,1128,331
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133
TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,1111,55
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,785,90
AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,1162,149
AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,840,204
M Azharuddin (IND),1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622,77
PA de Silva (SL),1984-2003,308,296,30,9284,145,34.9,11443,81.13,11,64,17,712,102
Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97
S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,722,85
Yuvraj Singh (Asia/IND),2000-2017,304,278,40,8701,150,36.55,9924,87.67,14,52,18,908,155
DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,768,53
LRPL Taylor (NZ),2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,713,147
MS Atapattu (SL),1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13,734,15
ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57
Tamim Iqbal (BAN),2007-2023,243,240,12,8357,158,36.65,10642,78.52,14,56,19,925,103
V Sehwag (Asia/ICC/IND),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,1132,136
HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
HH Gibbs (SA),1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,369,27,8064,124,23.57,6892,117,6,39,30,730,351
SP Fleming (ICC/NZ),1994-2007,280,269,21,8037,134*,32.4,11242,71.49,8,49,17,823,63
MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
Mushfiqur Rahim (BAN),2006-2025,274,256,42,7795,144,36.42,9780,79.7,9,49,12,617,100
EJG Morgan (ENG/IRE),2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18,654,220
Shakib Al Hasan (BAN),2006-2023,247,234,31,7570,134*,37.29,9138,82.84,9,56,12,699,54
SR Waugh (AUS),1986-2002,325,288,58,7569,120*,32.9,9971,75.91,3,45,15,530,68
Shoaib Malik (PAK),1999-2019,287,258,40,7534,143,34.55,9199,81.9,9,44,15,603,113
A Ranatunga (SL),1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18,523,64
Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8,445,44
MJ Guptill (NZ),2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16,750,187
JE Root (ENG),2013-2025,183,172,24,7301,166*,49.33,8319,87.76,19,43,9,592,53
Younis Khan (PAK),2000-2015,265,255,23,7249,144,31.24,9628,75.29,7,48,22,578,56
KS Williamson (NZ),2010-2025,173,165,18,7235,148,49.21,8853,81.72,15,47,5,664,60
Saleem Malik (PAK),1982-1999,283,256,38,7170,102,32.88,9383,76.41,5,47,19,514,34
NJ Astle (NZ),1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86
GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8,788,44
WU Tharanga (Asia/SL),2005-2019,235,223,17,6951,174*,33.74,9155,75.92,15,37,17,798,52
DA Warner (AUS),2009-2023,161,159,6,6932,179,45.3,7127,97.26,22,33,4,733,130
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
S Dhawan (IND),2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79
A Flower (ZIM),1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13,532,26
Q de Kock (SA),2013-2023,155,155,7,6770,178,45.74,7005,96.64,21,30,4,771,118
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47,7451,90.2,11,45,7,600,126
BRM Taylor (ZIM),2004-2025,207,205,15,6704,145*,35.28,8761,76.52,11,39,16,599,106
Mohammad Hafeez (PAK),2003-2019,218,216,15,6614,140*,32.9,8633,76.61,11,38,19,664,110
GW Flower (ZIM),1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,557,37
Ijaz Ahmed (PAK),1986-2000,250,232,29,6564,139*,32.33,8174,80.3,10,37,14,531,87
AR Border (AUS),1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,500,43
Babar Azam (PAK),2015-2025,134,131,15,6291,158,54.23,7179,87.63,19,37,5,580,68
RB Richardson (WI),1983-1996,224,217,30,6248,122,33.41,9801,63.74,5,44,8,541,54
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,636,87
BB McCullum (NZ),2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380,64
PR Stirling (IRE),2008-2025,170,162,3,6005,177,37.76,6864,87.48,14,32,13,643,149
DC Boon (AUS),1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16
JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12,392,47
AD Mathews (SL),2008-2023,226,195,48,5916,139*,40.24,7136,82.9,3,40,17,468,90
SD Hope (WI),2016-2025,142,137,20,5879,170,50.24,7412,79.31,18,29,6,464,115
Ramiz Raja (PAK),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,469,14
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,480,58
SPD Smith (AUS),2010-2025,170,154,20,5800,164,43.28,6669,86.96,12,35,8,521,58
CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7,409,65
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
Mahmudullah (BAN),2007-2025,239,209,53,5689,128*,36.46,7327,77.64,4,32,10,425,107
H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,585,86
SK Raina (IND),2005-2018,226,194,35,5615,116*,35.31,6005,93.5,5,36,14,476,120
MN Samuels (WI),2000-2018,207,196,26,5606,133*,32.97,7463,75.11,10,30,11,526,118
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,366,94
F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80
IR Bell (ENG),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,525,32
JC Buttler (ENG),2012-2025,193,166,29,5412,162*,39.5,4672,115.83,11,29,15,433,181
AJ Finch (AUS),2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16,532,129
A Jadeja (IND),1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22
G Gambhir (IND),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
SC Williams (ZIM),2005-2025,164,159,20,5217,174,37.53,6000,86.95,8,37,9,470,66
ADR Campbell (ZIM),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,427,44
RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15,331,17
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,470,81
Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,-,42,6,342,83
JP Duminy (SA),2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,347,75
PD Collingwood (ENG),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,365,74
A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
Abdul Razzaq (Asia/PAK),1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14,382,124
